timestamp,sensor_id,plant_name,plant_id,co_level,no2_level,so2_level,pm2_5,pm10,o3_level,temperature,humidity,wind_speed,wind_direction,aqi,pollution_score,anomaly_flag,anomaly_severity
44:41.5,SENSOR_15,GAIL Vijaipur,PLT109,1.94,190.64,111.14,183.61,79.29,32.3,16.74,84.96,9.22,E,146,0.29,True,High
44:41.5,SENSOR_30,SAIL Bhilai Steel Plant,PLT107,3.57,13.91,145.64,251.41,100.69,36.82,20.5,42.82,8.11,E,148,0.3,True,High
44:41.5,SENSOR_28,IOCL Panipat Refinery,PLT106,2.22,65.33,93.72,50.45,131.01,69.11,28.68,78.89,3.4,NW,81,0.16,True,Moderate
44:41.5,SENSOR_28,GAIL Vijaipur,PLT109,2.62,122.56,11.74,186.19,84.8,16.38,43.47,92.42,12.22,W,125,0.25,True,Moderate
44:41.5,SENSOR_20,Vedanta Jharsuguda,PLT103,1.59,28.56,104.21,137.64,66.37,91.66,16.03,88.2,4.25,NW,91,0.18,True,Moderate
44:41.5,SENSOR_30,SAIL Bhilai Steel Plant,PLT107,3.35,69.23,80.41,168.55,90.24,174.68,38.25,90.46,13.47,N,116,0.23,False,Normal
44:41.5,SENSOR_46,SAIL Bhilai Steel Plant,PLT107,3.03,185.16,17.83,66.84,37.19,61.93,26.66,40.35,12.52,NW,76,0.15,True,High
44:41.5,SENSOR_39,ONGC Hazira,PLT108,1.85,63.38,83.69,50.87,324.83,18.05,44.61,77.92,3.38,NE,138,0.28,True,Moderate
44:41.5,SENSOR_7,Adani Mundra,PLT105,0.13,164.94,107.49,221.41,313.08,17.96,25.75,28.69,13.01,N,226,0.45,True,High
44:41.5,SENSOR_33,Adani Mundra,PLT105,3.15,72.87,14.22,100.18,143.57,132.68,34.13,86.54,7.35,SE,99,0.2,False,Normal
44:41.5,SENSOR_23,Reliance Jamnagar Refinery,PLT102,0.69,145.52,115.31,172.77,312.97,91.41,30.68,52.07,0.87,S,203,0.41,True,Moderate
